Command Class;Command;Identifier;value;sending node is;receiving node is;Additional comments
;Central Scene Supported Report;CENTRAL_SCENE_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Central Scene Notification;CENTRAL_SCENE_NOTIFICATION;0x03;supporting;controlling;-
;Central Scene Configuration Set;CENTRAL_SCENE_CONFIGURATION_SET;0x04;controlling;supporting;-
;Central Scene Configuration Get;CENTRAL_SCENE_CONFIGURATION_GET;0x05;controlling;supporting;-
;Central Scene Configuration Report;CENTRAL_SCENE_CONFIGURATION_REPORT;0x06;supporting;controlling;-
Clock Command Class;Clock Set;CLOCK_SET;0x04;controlling;supporting;-
;Clock Get;CLOCK_GET;0x05;controlling;supporting;-
;Clock Report;CLOCK_REPORT;0x06;supporting;controlling;-
Color Switch Command Class;Color Switch Supported Get;SWITCH_COLOR_SUPPORTED_GET;0x01;controlling;supporting;-
;Color Switch Supported Report;SWITCH_COLOR_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Color Switch Get;SWITCH_COLOR_GET;0x03;controlling;supporting;-
;Color Switch Report;SWITCH_COLOR_REPORT;0x04;supporting;controlling;-
;Color Switch Set;SWITCH_COLOR_SET;0x05;controlling;supporting;-
;Color Switch Start Level Change;SWITCH_COLOR_START_LEVEL_CHANGE;0x06;controlling;supporting;-
;Color Switch Stop Level Change;SWITCH_COLOR_STOP_LEVEL_CHANGE;0x07;controlling;supporting;-
Configuration Command Class;Configuration Set;CONFIGURATION_SET;0x04;controlling;supporting;-
;Configuration Get;CONFIGURATION_GET;0x05;controlling;supporting;-
;Configuration Report;CONFIGURATION_REPORT;0x06;supporting;controlling;-
;Configuration Bulk Set;CONFIGURATION_BULK_SET;0x07;controlling;supporting;-
;Configuration Bulk Get;CONFIGURATION_BULK_GET;0x08;controlling;supporting;-
;Configuration Bulk Report;CONFIGURATION_BULK_REPORT;0x09;supporting;controlling;-
;Configuration Name Get;CONFIGURATION_NAME_GET;0x0A;controlling;supporting;-
;Configuration Name Report;CONFIGURATION_NAME_REPORT;0x0B;supporting;controlling;-
;Configuration Info Get;CONFIGURATION_INFO_GET;0x0C;controlling;supporting;-
;Configuration Info Report;CONFIGURATION_INFO_REPORT;0x0D;supporting;controlling;-
;Configuration Properties Get;CONFIGURATION_PROPERTIES_GET;0x0E;controlling;supporting;-
;Configuration Properties Report;CONFIGURATION_PROPERTIES_REPORT;0x0F;supporting;controlling;-
;Configuration Default Reset;CONFIGURATION_DEFAULT_RESET;0x01;controlling;supporting;-
Controller Replication Command Class;Transfer Group;CTRL_REPLICATION_TRANSFER_GROUP;0x31;controlling;supporting;-
;Transfer Group Name;CTRL_REPLICATION_TRANSFER_GROUP_NAME;0x32;controlling;supporting;-
;Transfer Scene;CTRL_REPLICATION_TRANSFER_SCENE;0x33;controlling;supporting;-
;Transfer Scene Name;CTRL_REPLICATION_TRANSFER_SCENE_NAME;0x34;controlling;supporting;-
CRC-16 Encapsulation Command Class;CRC-16 Encapsulated;CRC_16_ENCAP;0x01;controlling;supporting;-
Demand Control Plan Configuration Command Class;DCP List Supported Get;DCP_LIST_SUPPORTED_GET;0x01;controlling;supporting;-
;DCP List Supported report;DCP_LIST_SUPPORTED_REPORT;0x02;supporting;controlling;-
;DCP List Set;DCP_LIST_SET;0x03;controlling;supporting;-
;DCP List Remove;DCP_LIST_REMOVE;0x04;controlling;supporting;-
Demand Control Plan Monitor Command Class ;DCP List Get;DCP_LIST_GET;0x01;controlling;supporting;-
;DCP List Report;DCP_LIST_REPORT;0x02;supporting;controlling;-
;DCP Event Status Get;DCP_EVENT_STATUS_GET;0x03;controlling;supporting;-
;DCP Event Status Report;DCP_EVENT_STATUS_REPORT;0x04;supporting;controlling;-
Device Reset Locally Command Class;Device Reset Locally Notification;DEVICE_RESET_LOCALLY_NOTIFICATION;0x01;supporting;controlling;-
Door Lock Command Class;Door Lock Operation Set;DOOR_LOCK_OPERATION_SET;0x01;controlling;supporting;-
;Door Lock Operation Get;DOOR_LOCK_OPERATION_GET;0x02;controlling;supporting;-
;Door Lock Operation Report;DOOR_LOCK_OPERATION_REPORT;0x03;supporting;controlling;-
;Door Lock Configuration Set;DOOR_LOCK_CONFIGURATION_SET;0x04;controlling;supporting;-
;Door Lock Configuration Get;DOOR_LOCK_CONFIGURATION_GET;0x05;controlling;supporting;-
;Door Lock Configuration Report;DOOR_LOCK_CONFIGURATION_REPORT;0x06;supporting;controlling;-
;Door Lock Capabilities Get;DOOR_LOCK_CAPABILITIES_GET ;0x07;controlling;supporting;-
;Door Lock Capabilities Report;DOOR_LOCK_CAPABILITIES_REPORT;0x08;supporting;controlling;-
Door Lock Logging Command Class;Door Lock Logging Records Supported Get;DOOR_LOCK_LOGGING_RECORDS_SUPPORTED_GET;0x01;controlling;supporting;-
;Door Lock Logging Records Supported Report;DOOR_LOCK_LOGGING_RECORDS_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Door Lock Logging Record Get;RECORD_GET;0x03;controlling;supporting;-
;Door Lock Logging Record Report;RECORD_REPORT;0x04;supporting;controlling;-
Energy Production Command Class;Energy Production Get;ENERGY_PRODUCTION_GET;0x02;controlling;supporting;-
;Energy Production Report;ENERGY_PRODUCTION_REPORT;0x03;supporting;controlling;-
Entry Control Command Class;Entry Control Notification;ENTRY_CONTROL_NOTIFICATION;0x01;supporting;controlling;-
;Entry Control Key Supported Get;ENTRY_CONTROL_KEY_SUPPORTED_GET;0x02;controlling;supporting;-
;Entry Control Key Supported Report;ENTRY_CONTROL_KEY_SUPPORTED_REPORT;0x03;supporting;controlling;-
;Entry Control Event Supported Get;ENTRY_CONTROL_EVENT_SUPPORTED_GET;0x04;controlling;supporting;-
;Entry Control Event Supported Report;ENTRY_CONTROL_EVENT_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Entry Control Configuration Set;ENTRY_CONTROL_CONFIGURATION_SET;0x06;controlling;supporting;-
;Entry Control Configuration Get;ENTRY_CONTROL_CONFIGURATION_GET;0x07;controlling;supporting;-
;Entry Control Configuration Report;ENTRY_CONTROL_CONFIGURATION_REPORT;0x08;supporting;controlling;-
Firmware Update Meta Data Command Class;Firmware Meta Data Get;FIRMWARE_MD_GET;0x01;controlling;supporting;-
;Firmware Meta Data Report;FIRMWARE_MD_REPORT;0x02;supporting;controlling;-
;Firmware Update Meta Data Request Get;FIRMWARE_UPDATE_MD_REQUEST_GET;0x03;controlling;supporting;-
;Firmware Update Meta Data Request Report;FIRMWARE_UPDATE_MD_REQUEST_REPORT;0x04;supporting;controlling;-
;Firmware Update Meta Data Get;FIRMWARE_UPDATE_MD_GET;0x05;supporting;controlling;controlling and supporting must be swapped in case of a FW upload
;Firmware Update Meta Data Report;FIRMWARE_UPDATE_MD_REPORT;0x06;controlling;supporting;controlling and supporting must be swapped in case of a FW upload
;Firmware Update Meta Data Status Report;FIRMWARE_UPDATE_MD_STATUS_REPORT;0x07;supporting;controlling;-
;Firmware Update Activation Set;FIRMWARE_UPDATE_ACTIVATION_SET;0x08;controlling;supporting;-
;Firmware Update Activation Report;FIRMWARE_UPDATE_ACTIVATION_STATUS_REPORT;0x09;supporting;controlling;-
;Firmware Update Meta Data Prepare Get;FIRMWARE_UPDATE_MD_PREPARE_GET;0x0A;controlling;supporting;-
;Firmware Update Meta Data Prepare Report;FIRMWARE_UPDATE_MD_PREPARE_REPORT;0x0B;supporting;controlling;-
Geographic Location Command Class;Geographic Location Set;GEOGRAPHIC_LOCATION_SET;0x01;controlling;supporting;-
;Geographic Location Get;GEOGRAPHIC_LOCATION_GET;0x02;controlling;supporting;-
;Geographic Location Report;GEOGRAPHIC_LOCATION_REPORT;0x03;supporting;controlling;-
Grouping Name Command Class;Grouping Name Set;GROUPING_NAME_SET;0x01;controlling;supporting;-
;Grouping Name Get;GROUPING_NAME_GET;0x02;controlling;supporting;-
;Grouping Name Report;GROUPING_NAME_REPORT;0x03;supporting;controlling;-
Hail Command Class;Hail;HAIL;0x01;supporting;controlling;-
HRV Status Command Class;HRV Status Get;HRV_STATUS_GET;0x01;controlling;supporting;-
;HRV Status Report;HRV_STATUS_REPORT;0x02;supporting;controlling;-
;HRV Status Supported Get;HRV_STATUS_SUPPORTED_GET;0x03;controlling;supporting;-
;HRV Status Supported Report;HRV_STATUS_SUPPORTED_REPORT;0x04;supporting;controlling;-
HRV Control Command Class;HRV Mode Set;HRV_CONTROL_MODE_SET;0x01;controlling;supporting;-
;HRV Mode Get;HRV_CONTROL_MODE_GET;0x02;controlling;supporting;-
;HRV Mode Report;HRV_CONTROL_MODE_REPORT;0x03;supporting;controlling;-
;HRV Bypass Set;HRV_CONTROL_BYPASS_SET;0x04;controlling;supporting;-
;HRV Bypass Get;HRV_CONTROL_BYPASS_GET;0x05;controlling;supporting;-
;HRV Bypass Report;HRV_CONTROL_BYPASS_REPORT;0x06;supporting;controlling;-
;HRV Ventilation Rate Set;HRV_CONTROL_VENTILATION_RATE_SET;0x07;controlling;supporting;-
;HRV Ventilation Rate Get;HRV_CONTROL_VENTILATION_RATE_GET;0x08;controlling;supporting;-
;HRV Ventilation Rate Report;HRV_CONTROL_VENTILATION_RATE_REPORT;0x09;supporting;controlling;-
;HRV Mode Supported Get;HRV_CONTROL_MODE_SUPPORTED_GET;0x0A;controlling;supporting;-
;HRV Mode Supported Report;HRV_CONTROL_MODE_SUPPORTED_REPORT;0x0B;supporting;controlling;-
Humidity Control Mode Command Class;Humidity Control Mode Set;HUMIDITY_CONTROL_MODE_SET;0x01;controlling;supporting;-
;Humidity Control Mode Get;HUMIDITY_CONTROL_MODE_GET;0x02;controlling;supporting;-
;Humidity Control Mode Report;HUMIDITY_CONTROL_MODE_REPORT;0x03;supporting;controlling;-
;Humidity Control Mode Supported Get;HUMIDITY_CONTROL_MODE_SUPPORTED_GET;0x04;controlling;supporting;-
;Humidity Control Mode Supported Report;HUMIDITY_CONTROL_MODE_SUPPORTED_REPORT;0x05;supporting;controlling;-
Humidity Control Operating State Command Class;Humidity Control Operating State Get;HUMIDITY_CONTROL_OPERATING_STATE_GET;0x01;controlling;supporting;-
;Humidity Control Operating State Report;HUMIDITY_CONTROL_OPERATING_STATE_REPORT;0x02;supporting;controlling;-
Humidity Control Setpoint Command Class;Humidity Control Setpoint Set;HUMIDITY_CONTROL_SETPOINT_SET;0x01;controlling;supporting;-
;Humidity Control Setpoint Get;HUMIDITY_CONTROL_SETPOINT_GET;0x02;controlling;supporting;-
;Humidity Control Setpoint Report;HUMIDITY_CONTROL_SETPOINT_REPORT;0x03;supporting;controlling;-
;Humidity Control Setpoint Supported Get;HUMIDITY_CONTROL_SETPOINT_SUPPORTED_GET;0x04;controlling;supporting;-
;Humidity Control Setpoint Supported Report;HUMIDITY_CONTROL_SETPOINT_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Humidity Control Setpoint Scale Supported Get;HUMIDITY_CONTROL_SETPOINT_SCALE_SUPPORTED_GET;0x06;controlling;supporting;-
;Humidity Control Setpoint Scale Supported Report;HUMIDITY_CONTROL_SETPOINT_SCALE_SUPPORTED_REPORT;0x07;supporting;controlling;-
;Humidity Control Setpoint Capabilities Get;HUMIDITY_CONTROL_SETPOINT_CAPABILITIES_GET;0x08;controlling;supporting;-
;Humidity Control Setpoint Capabilities Report;HUMIDITY_CONTROL_SETPOINT_CAPABILITIES_REPORT;0x09;supporting;controlling;-
Inclusion Controller Command Class;Inclusion Controller Initiate;INITIATE;0x01;supporting;supporting;Both supporting
;Inclusion Controller Complete;COMPLETE;0x02;supporting;supporting;Both supporting
Indicator Command Class;Indicator Set;INDICATOR_SET;0x01;controlling;supporting;-
;Indicator Get;INDICATOR_GET;0x02;controlling;supporting;-
;Indicator Report;INDICATOR_REPORT;0x03;supporting;controlling;-
;Indicator Supported Get;INDICATOR_SUPPORTED_GET;0x04;controlling;supporting;-
;Indicator Supported Report;INDICATOR_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Indicator Description Get;INDICATOR_DESCRIPTION_GET;0x06;controlling;supporting;-
;Indicator Description Report;INDICATOR_DESCRIPTION_REPORT;0x07;supporting;controlling;-
IP Configuration Command Class;IP Configuration Set;IP_CONFIGURATION_SET;0x01;controlling;supporting;-
;IP Configuration Get;IP_CONFIGURATION_GET;0x02;controlling;supporting;-
;IP Configuration Report;IP_CONFIGURATION_REPORT;0x03;supporting;controlling;-
;IP Configuration DHCP Release;IP_CONFIGURATION_RELEASE;0x04;controlling;supporting;-
;IP Configuration DHCP Renew;IP_CONFIGURATION_RENEW;0x05;controlling;supporting;-
Irrigation Command Class;Irrigation System Info Get;IRRIGATION_SYSTEM_INFO_GET;0x01;controlling;supporting;-
;Irrigation System Info Report;IRRIGATION_SYSTEM_INFO_REPORT;0x02;supporting;controlling;-
;Irrigation System Status Get;IRRIGATION_SYSTEM_STATUS_GET;0x03;controlling;supporting;-
;Irrigation System Status Report;IRRIGATION_SYSTEM_STATUS_REPORT;0x04;supporting;controlling;-
;Irrigation System Config Set;IRRIGATION_SYSTEM_CONFIG_SET;0x05;controlling;supporting;-
;Irrigation System Config Get;IRRIGATION_SYSTEM_CONFIG_GET;0x06;controlling;supporting;-
;Irrigation System Config Report;IRRIGATION_SYSTEM_CONFIG_REPORT;0x07;supporting;controlling;-
;Irrigation Valve Info Get;IRRIGATION_VALVE_INFO_GET;0x08;controlling;supporting;-
;Irrigation Valve Info Report;IRRIGATION_VALVE_INFO_REPORT;0x09;supporting;controlling;-
;Irrigation Valve Config Set;IRRIGATION_VALVE_CONFIG_SET;0x0A;controlling;supporting;-
;Irrigation Valve Config Get;IRRIGATION_VALVE_CONFIG_GET;0x0B;controlling;supporting;-
;Irrigation Valve Config Report;IRRIGATION_VALVE_CONFIG_REPORT;0x0C;supporting;controlling;-
;Irrigation Valve Run;IRRIGATION_VALVE_RUN;0x0D;controlling;supporting;-
;Irrigation Valve Table Set;IRRIGATION_VALVE_TABLE_SET;0x0E;controlling;supporting;-
;Irrigation Valve Table Get;IRRIGATION_VALVE_TABLE_GET;0x0F;controlling;supporting;-
;Irrigation Valve Table Report;IRRIGATION_VALVE_TABLE_REPORT;0x10;supporting;controlling;-
;Irrigation Valve Table Run;IRRIGATION_VALVE_TABLE_RUN;0x11;controlling;supporting;-
;Irrigation System Shutoff;IRRIGATION_SYSTEM_SHUTOFF;0x12;controlling;supporting;-
Language Command Class;Language Set;LANGUAGE_SET;0x01;controlling;supporting;-
;Language Get;LANGUAGE_GET;0x02;controlling;supporting;-
;Language Report;LANGUAGE_REPORT;0x03;supporting;controlling;-
Lock Command Class;Lock Set;LOCK_SET;0x01;controlling;supporting;-
;Lock Get;LOCK_GET;0x02;controlling;supporting;-
;Lock Report;LOCK_REPORT;0x03;supporting;controlling;-
Mailbox Command Class;Mailbox Configuration Get;MAILBOX_CONFIGURATION_GET;0x01;controlling;supporting;-
;Mailbox Configuration Set;MAILBOX_CONFIGURATION_SET;0x02;controlling;supporting;-
;Mailbox Configuration Report;MAILBOX_CONFIGURATION_REPORT;0x03;supporting;controlling;-
;Mailbox Queue;MAILBOX_QUEUE;0x04;supporting;supporting;Both supporting
;Mailbox Wake Up Notification;MAILBOX_WAKEUP_NOTIFICATION;0x05;supporting;supporting;Both supporting
;Mailbox Failling Node;MAILBOX_NODE_FAILING;0x06;supporting;supporting;Both supporting
Manufacturer Specific Command Class;Manufacturer Specific Get;MANUFACTURER_SPECIFIC_GET;0x04;controlling;supporting;-
;Manufacturer Specific Report;MANUFACTURER_SPECIFIC_REPORT;0x05;supporting;controlling;-
;Device Specific Get;DEVICE_SPECIFIC_GET;0x06;controlling;supporting;-
;Device Specific Report;DEVICE_SPECIFIC_REPORT;0x07;supporting;controlling;-
Meter Command Class;Meter Get;METER_GET;0x01;controlling;supporting;-
;Meter Report;METER_REPORT;0x02;supporting;controlling;-
;Meter Supported Get;METER_SUPPORTED_GET;0x03;controlling;supporting;-
;Meter Supported Report;METER_SUPPORTED_REPORT;0x04;supporting;controlling;-
;Meter Reset;METER_RESET;0x05;controlling;supporting;-
Meter Table Configuration Command Class;Meter Table Point Adm Number Set;METER_TBL_TABLE_POINT_ADM_NO_SET;0x01;controlling;supporting;-
Meter Table Monitor Command Class;Meter Table Point Adm Number Get;METER_TBL_TABLE_POINT_ADM_NO_GET;0x01;controlling;supporting;-
;Meter Table Point Adm Number Report;METER_TBL_TABLE_POINT_ADM_NO_REPORT;0x02;supporting;controlling;-
;Meter Table ID Get;METER_TBL_TABLE_ID_GET;0x03;controlling;supporting;-
;Meter Table ID Report;METER_TBL_TABLE_ID_REPORT;0x04;supporting;controlling;-
;Meter Table Capability Get;METER_TBL_TABLE_CAPABILITY_GET;0x05;controlling;supporting;-
;Meter Table Capability Report;METER_TBL_REPORT;0x06;supporting;controlling;-
;Meter Table Status Supported Get;METER_TBL_STATUS_SUPPORTED_GET;0x07;controlling;supporting;-
;Meter Table Status Supported Report;METER_TBL_STATUS_SUPPORTED_REPORT;0x08;supporting;controlling;-
;Meter Table Status Depth Get;METER_TBL_STATUS_DEPTH_GET;0x09;controlling;supporting;-
;Meter Table Status Date Get;METER_TBL_STATUS_DATE_GET;0x0A;controlling;supporting;-
;Meter Table Status Report;METER_TBL_STATUS_REPORT;0x0B;supporting;controlling;-
;Meter Table Current Data Get;METER_TBL_CURRENT_DATA_GET;0x0C;controlling;supporting;-
;Meter Table Current Data Report;METER_TBL_CURRENT_DATA_REPORT;0x0D;supporting;controlling;-
;Meter Table Historical Data Get;METER_TBL_HISTORICAL_DATA_GET;0x0E;controlling;supporting;-
;Meter Table Historical Data Report;METER_TBL_HISTORICAL_DATA_REPORT;0x0F;supporting;controlling;-
Meter Table Push Configuration Command Class;Meter Table Push Configuration Set;METER_TBL_PUSH_CONFIGURATION_SET;0x01;controlling;supporting;-
;Meter Table Push Configuration Get;METER_TBL_PUSH_CONFIGURATION_GET;0x02;controlling;supporting;-
;Meter Table Push Configuration Report;METER_TBL_PUSH_CONFIGURATION_REPORT;0x03;supporting;controlling;-
Move To Position Window Covering Command Class;Move To Position Set;MOVE_TO_POSITION_SET;0x01;controlling;supporting;-
;Move To Position Get;MOVE_TO_POSITION_GET;0x02;controlling;supporting;-
;Move To Position Report;MOVE_TO_POSITION_REPORT;0x03;supporting;controlling;-
Multi Channel Command Class;Multi Channel End Point Get;MULTI_CHANNEL_END_POINT_GET;0x07;controlling;supporting;-
;Multi Channel End Point Report;MULTI_CHANNEL_END_POINT_REPORT;0x08;supporting;controlling;-
;Multi Channel Capability Get;MULTI_CHANNEL_CAPABILITY_GET;0x09;controlling;supporting;-
;Multi Channel Capability Report;MULTI_CHANNEL_CAPABILITY_REPORT;0x0A;supporting;controlling;-
;Multi Channel End Point Find;MULTI_CHANNEL_END_POINT_FIND;0x0B;controlling;supporting;-
;Multi Channel End Point Find Report;MULTI_CHANNEL_END_POINT_FIND_REPORT;0x0C;supporting;controlling;-
;Multi Channel Command Encapsulation;MULTI_CHANNEL_CMD_ENCAP;0x0D;supporting;controlling;If Destination End Point is set to 0
;;;;controlling;supporting;If Source End Point is set to 0
;;;;supporting;supporting;In all other cases
;Multi Channel Aggregated Members Get;MULTI_CHANNEL_AGGREGATED_MEMBERS_GET;0x0E;controlling;supporting;-
;Multi Channel Aggregated Members Report;MULTI_CHANNEL_AGGREGATED_MEMBERS_REPORT;0x0F;supporting;controlling;-
Multi Channel Association Command Class;Multi Channel Association Set;MULTI_CHANNEL_ASSOCIATION_SET;0x01;controlling;supporting;-
;Multi Channel Association Get;MULTI_CHANNEL_ASSOCIATION_GET;0x02;controlling;supporting;-
;Multi Channel Association Report;MULTI_CHANNEL_ASSOCIATION_REPORT;0x03;supporting;controlling;-
;Multi Channel Association Remove;MULTI_CHANNEL_ASSOCIATION_REMOVE;0x04;controlling;supporting;-
;Multi Channel Association Groupings Get;MULTI_CHANNEL_ASSOCIATION_GROUPINGS_GET;0x05;controlling;supporting;-
;Multi Channel Association Groupings Report;MULTI_CHANNEL_ASSOCIATION_GROUPINGS_REPORT;0x06;supporting;controlling;-
Multi Command Command Class;Multi Command Encapsulated;MULTI_CMD_ENCAP;0x01;controlling;supporting;-
Multilevel Sensor Command Class;Multilevel Sensor Get Supported Sensor;SENSOR_MULTILEVEL_SUPPORTED_GET_SENSOR;0x01;controlling;supporting;-
;Multilevel Sensor Supported Sensor Report;SENSOR_MULTILEVEL_SUPPORTED_SENSOR_REPORT;0x02;supporting;controlling;-
;Multilevel Sensor Get Supported Scale;SENSOR_MULTILEVEL_SUPPORTED_GET_SCALE;0x03;controlling;supporting;-
